rank.['country', 'win_percentage']
164."['Malawi', 34.166666666666664]"
165."['Bermuda', 33.90804597701149]"
166."['Angola', 33.67609254498715]"
167."['Burkina Faso', 33.490566037735846]"
168."['Montenegro', 33.33333333333333]"
169."['Saint Martin', 33.33333333333333]"
170."['Romani people', 33.33333333333333]"
171."['Hmong', 33.33333333333333]"
172."['Grenada', 32.916666666666664]"
173."['Congo', 32.904884318766065]"
174."['Greenland', 32.87671232876712]"
175."['Rwanda', 32.83018867924528]"
176."['Sudan', 32.80898876404494]"
177."['Panama', 32.719836400818]"
178."['Antigua and Barbuda', 32.71889400921659]"
179."['El Salvador', 32.62786596119929]"
180."['Peru', 32.33532934131736]"
181."['Papua New Guinea', 32.25806451612903]"
182."['Wales', 32.142857142857146]"
183."['Barbados', 32.04225352112676]"
184."['Georgia', 32.014388489208635]"
185."['Székely Land', 32.0]"
186."['Vanuatu', 31.843575418994412]"
187."['Mozambique', 31.486880466472307]"
188."['Samoa', 31.372549019607842]"
189."['Hong Kong', 31.313131313131315]"
190."['Western Armenia', 31.25]"
191."['Guyana', 31.141868512110726]"
192."['Sint Maarten', 31.11111111111111]"
193."['North Macedonia', 31.071428571428573]"
194."['French Guiana', 30.994152046783626]"
195."['Kyrgyzstan', 30.909090909090907]"
196."['Togo', 30.878859857482183]"
197."['Singapore', 30.82191780821918]"
198."['Iceland', 30.628803245436103]"
199."['Sierra Leone', 30.49645390070922]"
200."['Ecuador', 30.41144901610018]"
201."['Burundi', 30.392156862745097]"
202."['Maldives', 30.05464480874317]"
203."['Belarus', 29.411764705882355]"
204."['Palestine', 29.1866028708134]"
205."['North Vietnam', 29.166666666666668]"
206."['Latvia', 28.735632183908045]"
207."['South Ossetia', 28.57142857142857]"
208."['Guinea-Bissau', 28.143712574850298]"
209."['Tanzania', 27.787610619469028]"
210."['Philippines', 27.6]"
211."['Lebanon', 27.333333333333332]"
212."['Albania', 27.100271002710024]"
213."['Namibia', 26.8]"
214."['Afghanistan', 26.77165354330709]"
215."['Lithuania', 26.354679802955665]"
216."['Botswana', 26.351351351351347]"
217."['Mauritius', 26.296296296296294]"
218."['Finland', 26.14213197969543]"
219."['Gambia', 26.05042016806723]"
220."['Northern Ireland', 25.844346549192366]"
221."['Kazakhstan', 25.75107296137339]"
222."['Liberia', 25.64102564102564]"
223."['Taiwan', 25.60386473429952]"
224."['Gibraltar', 25.37313432835821]"
225."['Equatorial Guinea', 25.333333333333336]"
226."['Venezuela', 25.17814726840855]"
227."['Estonia', 25.143953934740882]"
228."['Mongolia', 25.0]"
229."['Republic of St. Pauli', 25.0]"
230."['Barawa', 25.0]"
231."['Armenia', 24.696356275303643]"
232."['Tonga', 24.561403508771928]"
233."['Dominica', 24.36548223350254]"
234."['Bangladesh', 24.193548387096776]"
235."['Montserrat', 24.074074074074073]"
236."['Bahamas', 24.074074074074073]"
237."['Orkney', 23.809523809523807]"
238."['Nepal', 23.696682464454977]"
239."['Puerto Rico', 23.52941176470588]"
240."['Provence', 23.52941176470588]"
241."['Benin', 23.426573426573427]"
242."['Turks and Caicos Islands', 23.25581395348837]"
243."['Nicaragua', 22.95918367346939]"
244."['Niger', 22.78481012658228]"
245."['Raetia', 22.22222222222222]"
246."['Bolivia', 22.0]"
247."['Belize', 21.782178217821784]"
248."['Cambodia', 21.544715447154474]"
249."['Hitra', 21.052631578947366]"
250."['Wallis Islands and Futuna', 20.833333333333336]"
251."['Guam', 20.754716981132077]"
252."['Eswatini', 20.717131474103585]"
253."['Falkland Islands', 20.689655172413794]"
254."['Central African Republic', 20.5607476635514]"
255."['South Sudan', 20.33898305084746]"
256."['Mauritania', 20.242914979757085]"
257."['Chad', 20.175438596491226]"
258."['Zanzibar', 20.0]"
259."['Yemen DPR', 20.0]"
260."['Frøya', 20.0]"
261."['Comoros', 20.0]"
262."['Pakistan', 19.801980198019802]"
263."['Laos', 19.767441860465116]"
264."['Azerbaijan', 19.718309859154928]"
265."['Cook Islands', 19.565217391304348]"
266."['Aruba', 19.548872180451127]"
267."['Cayman Islands', 19.41747572815534]"
268."['Moldova', 19.34306569343066]"
269."['Yemen', 18.907563025210084]"
270."['Sri Lanka', 18.89400921658986]"
271."['Cyprus', 18.5]"
272."['Faroe Islands', 18.3206106870229]"
273."['United Koreans in Japan', 18.181818181818183]"
274."['Lesotho', 17.843866171003718]"
275."['Tuvalu', 17.142857142857142]"
276."['Two Sicilies', 16.666666666666664]"
